10Barwałd,E,34 329,13 910,248,wadowicki
10Bąkowiec,P,13 720,-,-,limanowski
10Bednarka,R,3 436,-,-,gorlicki
10Bysina,E,831,-,26,myślenicki
10Bysina 1,E,575,-,10,myślenicki
10Bysina 2,E,705,-,9,myślenicki
10Bysina 3,E,318,-,8,myślenicki
10Chomranice,E,3 865,793,78,nowosądecki
10Cieniawa,E,1 120,-,2,nowosądecki
10Czasław,T,557,557,-,myślenicki
10Czasław-Zachód,R,123,-,-,myślenicki
10Dąbrowa,E,7 203,3 255,42,nowosądecki
10Dział,R,41 177,-,-,nowotarski
10Frycowa,Z,1 305,-,-,nowosądecki
10Górka-Mucharz,E,6 761,4 873,210,"suski, wadowicki"
10Harbutowice,P,47 980,-,-,"myślenicki, suski"
10Harbutowice-Kamieniołom,R,1 172,-,-,myślenicki
10Harkabuz,R,42,-,-,nowotarski
10Jastrzębie,R,1 786,-,-,limanowski
10Kamionka Wielka,Z,5 900,-,-,nowosądecki
10Kasina Wielka,Z,177,-,-,limanowski
10Klecza Dolna,R,601,-,-,wadowicki
10Klęczany,E,75 370,46 392,586,nowosądecki
10Klikuszowa,E,24 606,8 402,208,nowotarski
10Klimkówka,R,3 565,-,-,gorlicki
10Królowa Górna,P,43 710,-,-,nowosądecki
10Królowa Górna 1,E,1 138,-,4,nowosądecki
10Krzeczów,R,652,-,-,myślenicki
10Kurów,P,17 800,-,-,suski
10Broniów V,T,416,-,-,szydłowiecki
10Długosz III,R,125,-,-,szydłowiecki
10Edwardów,E,78,-,0,szydłowiecki
10Góra Skłobska,P,68 593,-,-,szydłowiecki
10Jankowice,Z,356,-,-,szydłowiecki
10Jankowice 2,T,106,-,-,szydłowiecki
10Jankowice 3,R,224,-,-,szydłowiecki
10Jankowice 4,R,143,-,-,szydłowiecki
10Jankowice 5,R,646,247,-,szydłowiecki
10Jankowice 6,T,174,-,-,szydłowiecki
10Jankowice I,R,66,-,-,szydłowiecki
10Kamienna Góra,Z,37,-,-,przysuski
10Krawara,R,732,-,-,szydłowiecki
10Mszadla,R,49,-,-,szydłowiecki
10Podolszanka I,T,174,-,-,szydłowiecki
10Podolszańskie,Z,554,-,-,szydłowiecki
10Ruszkowice,Z,600,-,-,przysuski
10Smagów,R,410,-,-,przysuski
10Szydłowiec,E,384,-,2,szydłowiecki
10Szydłówek,E,66,-,0,szydłowiecki
10Szydłówek - Saspol,T,48,-,-,szydłowiecki
10Szydłówek III,T,134,-,-,szydłowiecki
10Szydłówek Saspol I,T,22,-,-,szydłowiecki
10Szydłówek-Bielecki,E,35,-,0,szydłowiecki
10Szydłówek-Laskowski,Z,24,-,-,szydłowiecki
10Szydłówek-Maślikowski,Z,111,-,-,szydłowiecki
10Szydłówek-Mrozowski,Z,153,-,-,szydłowiecki
10Szydłówek-Skopek I,T,81,-,-,szydłowiecki
10Szydłówek-Wojciech,T,47,-,-,szydłowiecki
10Śmiłów,Z,5 468,-,-,szydłowiecki
10Śmiłów 1,E,3 479,1 601,3,szydłowiecki
10Śmiłów 4,E,259,-,1,szydłowiecki
10Śmiłów 5,E,159,-,2,szydłowiecki
10Śmiłów 6,T,207,-,-,szydłowiecki
10Śmiłów 7,Z,63,-,-,szydłowiecki
10Śmiłów 8,E,181,-,0,szydłowiecki
10Śmiłów II,R,182,-,-,szydłowiecki
10Śmiłów III,T,114,-,-,szydłowiecki
10Śmiłów-Józef,Z,88,-,-,szydłowiecki
10Śmiłów-Podolszanka,T,133,-,-,szydłowiecki
10Śmiłów-Północ,T,206,-,-,szydłowiecki
10Śmiłów-Sasal,Z,39,-,-,szydłowiecki
10Braciszów,E,21 308,21 308,211,głubczycki
10Bóbrka,Z,5 918,-,-,leski
10Brzegi Górne,Z,1 136,-,-,bieszczadzki
10Budy Jabłońskie,T,564,-,-,brzozowski
10Bystre,Z,655,-,-,leski
10Chełm,Z,25 965,-,-,strzyżowski
10Cieszyna,Z,3 599,-,-,strzyżowski
10Glinik Górny,Z,1 163,-,-,strzyżowski
10Glinik Górny 1,R,1 250,-,-,strzyżowski
10Huczwice,T,7 818,268,-,leski
10Iwla,P,22 623,-,-,krośnieński
10Iwla-1,R,7 382,-,-,krośnieński
10Jabłonica Ruska-Łaski,R,501,-,-,brzozowski
10Jazowa,R,500,-,-,strzyżowski
10Kobyle,Z,230,-,-,strzyżowski
10Komańcza,R,24 556,-,-,sanocki
10Komańcza 1,R,9 360,-,-,sanocki
10Komańcza III,R,109 945,-,-,sanocki
10Komańcza-Jawornik,E,2 110,776,63,sanocki
10Krymieniec,P,15 886,-,-,sanocki
10Krzeczkowa,Z,1 008,-,-,przemyski
10Lipowica II,Z,34 330,-,-,krośnieński
10Lipowica II-1,E,137 457,35 592,1 904,krośnieński
10Łączki Jagiellońskie,Z,114,-,-,krośnieński
10Manasterz,T,859,-,-,przeworski
10Mokre,R,24 290,-,-,sanocki
10Moszczaniec,P,21 842,-,-,sanocki
10Moszczaniec II,R,35 515,-,-,krośnieński
10Orzechówka,Z,734,-,-,brzozowski
10Otryt,P,83 318,-,-,bieszczadzki
